/home/akshay/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:107: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 9010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
global_step=294000, episodic_return=[1607.9308]
SPS: 1187
global_step=295000, episodic_return=[1648.4294]
global_step=296000, episodic_return=[948.3845]
SPS: 1187
global_step=297000, episodic_return=[353.4441]
global_step=298000, episodic_return=[1515.3103]
global_step=299000, episodic_return=[1662.376]
SPS: 1186
global_step=300000, episodic_return=[874.57263]
global_step=301000, episodic_return=[795.99084]
SPS: 1186
global_step=302000, episodic_return=[874.1886]
global_step=303000, episodic_return=[1753.736]
SPS: 1187
global_step=304000, episodic_return=[1706.2118]
global_step=305000, episodic_return=[1629.3987]
SPS: 1187
global_step=306000, episodic_return=[1618.5106]
global_step=307000, episodic_return=[1790.506]
SPS: 1186
global_step=308000, episodic_return=[1707.4115]
global_step=309000, episodic_return=[1836.6735]
SPS: 1187
global_step=310000, episodic_return=[1839.1418]
global_step=311000, episodic_return=[357.04846]
SPS: 1187
global_step=312000, episodic_return=[1589.4805]
global_step=313000, episodic_return=[1848.8873]
SPS: 1188
global_step=314000, episodic_return=[1887.3881]
global_step=315000, episodic_return=[1905.2709]
SPS: 1187
global_step=316000, episodic_return=[2018.5537]
global_step=317000, episodic_return=[242.71342]
SPS: 1187
global_step=318000, episodic_return=[1893.3861]
global_step=319000, episodic_return=[1605.8765]
SPS: 1188
global_step=320000, episodic_return=[1842.4683]
global_step=321000, episodic_return=[751.27704]
SPS: 1186
global_step=322000, episodic_return=[1990.6295]
global_step=323000, episodic_return=[1848.0005]
SPS: 1187
global_step=324000, episodic_return=[1851.3467]
global_step=325000, episodic_return=[1869.2743]
SPS: 1188
global_step=326000, episodic_return=[1858.2336]
global_step=327000, episodic_return=[1933.7997]
SPS: 1188
global_step=328000, episodic_return=[1859.0121]
global_step=329000, episodic_return=[1766.2084]
SPS: 1187
global_step=330000, episodic_return=[1894.1146]
global_step=331000, episodic_return=[1824.2328]
SPS: 1187
global_step=332000, episodic_return=[1743.5216]
global_step=333000, episodic_return=[1905.2206]
SPS: 1188
global_step=334000, episodic_return=[1907.677]
global_step=335000, episodic_return=[1728.9208]
SPS: 1189
global_step=336000, episodic_return=[1886.1168]
global_step=337000, episodic_return=[1788.8364]
SPS: 1188
global_step=338000, episodic_return=[1812.0481]
global_step=339000, episodic_return=[1736.0438]
SPS: 1188
global_step=340000, episodic_return=[1608.7528]
global_step=341000, episodic_return=[1636.2035]
global_step=342000, episodic_return=[1045.9479]
SPS: 1189
global_step=343000, episodic_return=[1785.8967]
global_step=344000, episodic_return=[1683.8679]
SPS: 1187
global_step=345000, episodic_return=[1783.6721]
global_step=346000, episodic_return=[1749.8312]
SPS: 1187
global_step=347000, episodic_return=[1780.9153]
global_step=348000, episodic_return=[1813.1947]
SPS: 1187
global_step=349000, episodic_return=[1899.4122]
global_step=350000, episodic_return=[1728.4813]
SPS: 1188
global_step=351000, episodic_return=[1984.9083]
global_step=352000, episodic_return=[1798.3735]
SPS: 1187
global_step=353000, episodic_return=[1951.7855]
global_step=354000, episodic_return=[997.5158]
SPS: 1187
global_step=355000, episodic_return=[1976.6167]
